;직무내용;모집직종;관련직종;전공;자격면허;외국어능력;병역대체 복무자채용;고용허가제;우대조건;컴퓨터 활용능력;기타우대사항;작업환경;sqlp;a;b;c;d;e;f;g;h;i
주 5일 근무
(오전) 8시 30분~(오후) 5시 30분
주소정근로시간 : 40시간
[급여조건]
- 연봉 40,000,000원 이상
- 상여금 : 0% (미 포함)
- 면접 후 결정 가능
우대조건 :
ㆍBMS F/W 개발
ㆍMCU(STM Series) 가능자.";펌웨어및임베디드소프트웨어프로그래머;;;관계없음;;비희망;;차량소지자,운전면허증;;인근거주, 차량소지, 운전가능, 남성의 경우 군필자;;False;False;False;False;False;True;False;False;False;False

53;"공공기관 소프트웨어 개발 및 유지관리
저희 회사는 국토교통부, 고용노동부, 국책연구기관 등 공공기관 시스템 개발 및 
유지관리를 전문적으로 하는 SI, SM, IT 벤처 기업입니다. 
(자세한 사항은 회사 홈페이지  http://www.woojin-tns.com 를 참고 바랍니다.)
함께 노력하고, 성장할  정규직 직원을 채용중 입니다.
근무장소는 저희 회사 본사 ""서울시 송파구 송파대로 167 문정역테라타워 B동 416호"" 입니다.
( 지하철 8호선 3번출구와 지하로 연결된 건물입니다)
개발환경은 Java/Jsp, 전자정부프레임워크, Jeus. Spring, Oracle, 큐브리드, Sql, Unix, Linux, NT 등 입니다.";웹개발자(웹엔지니어·웹프로그래머);;;정보처리산업기사(우대),정보처리기사(우대)기타:정보통신기술자경력수첩(중급)우대;;비희망;;;문서작성 (워드프로세스 활용),프레젠테이션 프로그램 활용;;;False;True;False;False;False;True;True;False;False;False

54;"1. 채용 직군(직렬) : 일반직 6급(기술관리직) 
2. 채용 분야 : 전산관리
3. 기본 자격
     - 연령, 성별, 학력, 전공, 학점, 어학점수 등 제한 없음
     - 서울축산농협 인사규정 및 채용준칙에 의거 채용결격사유에 해당하지 않는 자
     - 남자의 경우 병역을 필하였거나 면제된 자
4. 기술관리직 필수 자격 및 필수 경력
     - 임용예정직에 해당하는 「국가기술 자격법」 상 기능사 이상 자격증※ 소지자로서 해당 분야※※의 상장기업에서 3년 이상 또는 비상장기업에서 5년 이상 종사 경력자(자격증 및 경력 모두 만족해야 지원 가능)
     ※ 관련 자격증 : 정보처리기능사 이상(정보처리기능사, 정보처리산업기사 또는 정보처리기사)
     ※※ 관련 분야 : 일반기업의 전산팀, IT기업의 개발직 및 이와 유사한 분야
5. 우대사항 : 초임호봉 최대 3호봉 가산(채용분야와 동일한 경력에 한해 100% 인정)
6. 세부사항 : 서울축산농협 홈페이지(https://nhseoul.nonghyup.com) 채용공고 및 입사지원(with.nonghyup.com) 사이트 참조(필수 자격 및 경력 등을 반드시 확인하시고 지원하시기 바랍니다.)";시스템소프트웨어개발자;시스템소프트웨어개발자(프로그래머);응용소프트웨어공학(학과:컴퓨터공학부(컴퓨터공학))응용소프트웨어공학(학과:소프트웨어공학과);정보처리기능사(필수),정보처리산업기사(필수)기타:정보처리기사;;비희망;;보훈취업지원대상자;;"○ 전산학, 컴퓨터공학, 응용소프트웨어공학 등 전공자 및 경력자 우대
○ 전산시스템 개발, 네트워크 및 서버 관련 업무 경력자 우대
○ OCAJP, OCPJP 자격증 소지자 우대";;False;True;False;False;False;True;False;False;False;False

55;"(담당업무)
-ERP,간이생산시스템(MES) 전반의 백엔드 시스템 개발
-웹 솔루션 개발 및 유지보수
(자격요건)
- 경력 3년 이상의 Django, React framework, Python 사용 가능자
(우대사항)
- 컴퓨터/시스템 공학 전공/공학계열
- 정보처리기사/정보처리산업기사 자격증 보유자
- ERP/MES 개발 및 제조 솔루션 경험자
- Python을 이용한 백엔드 개발 경험자
(채용과정)
-서류전형 → 1차 전화면접 → 2차 대면면접 → 최종합격";웹개발자;범용응용소프트웨어프로그래머(ERP,정보처리,재무관리등),모바일애플리케이션프로그래머(앱·어플개발);전산학·컴퓨터공학(학과:컴퓨터시스템학과)전산학·컴퓨터공학(학과:컴퓨터공학계열);정보처리기사(우대),정보처리산업기사(우대);;비희망;;;;"- 컴퓨터/시스템 공학 전공/공학계열
- 정보처리기사/정보처리산업기사 자격증 보유자
- ERP/MES 개발 경험자
- 제조 솔루션 유경험자
- Python을 이용한 백엔드 개발 경험자
- 장애인 개발자 우대(장애인 등록 필수)";;False;True;False;False;False;True;False;False;False;True

56;"주요업무
ㆍ자사 백엔드 시스템 개발 및 운영 업무 담당합니다.
ㆍJava/Kotlin(Spring Boot) 기반의 어플리케이션 개발 및 운영합니다.
ㆍ다양한 서비스에 대한 데이터베이스 모델 설계 및 구축합니다.
자격요건
ㆍBackend 개발 경력 5년 이상 혹은 그에 준하는 실력을 보유한 분
ㆍSpring framework(Java/Kotlin) 기반 서비스 개발 및 운영 경험을 보유한 분
ㆍRDBMS 및 NoSQL에 대한 이해가 있으신 분
ㆍ서비스 요구사항에 맞는 아키텍처 및 DB 설계 경험이 있으신 분
ㆍ동료들과 토론하고 협업하며 시너지를 낼 수 있으신 분
ㆍ필요에 따라 다양한 프로그래밍 언어나 프레임워크를 배우는데 거리낌이 없으신 분
우대사항
ㆍ대용량 트래픽을 처리하는 시스템을 개발/운영 해 본 경험이 있으신 분
ㆍTCP 소켓 서버 프로그래밍 경험이 있으신 분
ㆍAWS 운영 경험이 있으신 분
ㆍ팀원들과 코드 리뷰하는데 거부감이 없는 분
ㆍ꼼꼼한 성격으로 업무 체계화 및 정리에 강점이 있으신 분
사용 중인 기술 스택
ㆍJava, Kotlin, Spring Boot, MariaDB, MongoDB, Python, AWS, GitLab, Jenkins
[근무조건]
ㆍ근무형태:정규직(수습기간)-3개월
ㆍ근무일시:주 5일(월~금) 오전 9시~오후 6시
ㆍ근무지역:(06067) 서울 강남구 삼성로 745 건희빌딩(청담동) - 서울 7호선 청담 에서 800m 이내";시스템소프트웨어개발자;;;관계없음;;비희망;;;;;;False;False;False;False;False;True;True;False;False;True

57;"1. 근무위치 : 경기도 안양시 평촌역 인근 도보 10분 내외
                    안양시 창업지원 센터내
2. 모집인원 
    HW : 1명
    SW : 2명
3. 담당업무
ㆍAI deep learning IP camera 제품 개발
ㆍ임베디드 리눅스 드라이버 개발
ㆍLinux application & opensource porting 
ㆍ마이컴 펌웨어 개발(ST)
ㆍ임베디드 하드웨어 설계/아트웤
4. 자격요건 : 관련 경력 5년 이상
ㆍ유관 전공(전산학, 컴퓨터 공학, 전자공학 등 공학계열) 이수자
ㆍC/C++ 숙련자
ㆍEmbedded Linux 환경 System SW 개발 유 경험자
ㆍHardware design background 
5. 우대사항
ㆍIP 카메라 ONVIF 개발 유경험자 우대
ㆍNvidia Jetson Embedded Linux 환경 개발 유경험자
ㆍ제품 양산 유 경험자
ㆍGit/lssue Tracker 활용 개발유경험자
ㆍ네트워크통신 이해 및 개발 유경험자
ㆍGit/lssue Tracker 활용 개발유경험자
6. 연봉 : 면접 후 협의
담당자 : dennis@itechour.com
연락처 : 070-5208-7789";펌웨어및임베디드소프트웨어프로그래머;시스템소프트웨어개발자(프로그래머),컴퓨터하드웨어기술자및연구원;전자공학(학과:전기전자및컴퓨터공학과)전기공학(학과:전기전산전공);관계없음;;비희망;;;;;;False;False;False;False;False;True;False;False;False;False

58;"< 청도 굿스파리조트 웹기획자 모집 >
  - 업무내용 : 인스타그램등 SNS 홍보
  - 근무시간 : 09:00 ~ 18:00, 휴게시간(13:00 ~ 14:00), 주 6일
  - 급       여 : 월 4,000,000원, 퇴직금
  - 제출서류 : 이력서, 자기소개서
      
     * 채용담당자 : 이세호(T: 010-2068-0387)
           - 문   의 : 청도사랑일자리지원센터(T: 054-370-2260)";웹기획자;;;관계없음;;비희망;;;기타(웹프로그램 가능자);;작업장소:실내;False;False;False;False;False;False;False;False;False;False

59;"1. 프로그램(ERP, POP, SCM, 그룹웨어, 홈페이지) 개발 및 유지보수
2. 서버, 백업, 네트워크, 방화벽 유지보수
3. 국선, 전용선 관리
4. 전산 기획";정보시스템운영자;네트워크관리자(클라우딩컴퓨터운영관리자),IT컨설턴트;전산학·컴퓨터공학(학과:전산학과);정보처리기사(우대);;비희망;;;;;;False;True;False;False;False;True;False;False;False;False

60;"물류자동화,공장자동화, 컨베어 설계
기구설계, 자동화설계, 산업기계설계 등
[자동차공정설계 > 자동차 생산공장 설계]
생산능력 계획하기,공장건설 관련법규 검토하기,공장 레이아웃 검토하기,생산요소 검토하기
[자동차공정설계 > 자동차 물류설계]
조달물류 계획하기,생산물류 계획하기,완성품 물류 계획하기";컴퓨터시스템설계및분석가;기계·금속제도사(캐드원);기계공학(학과:기계.정밀기계.기계설계.자동차공학과군)기계공학(학과:기계설계전공);관계없음;영어(중),일어(중);비희망;;차량소지자,운전면허증;문서작성 (워드프로세스 활용),표계산 (스프레드시트 활용)  ,프레젠테이션 프로그램 활용;;;False;False;False;False;False;False;False;False;False;False

61;"SMART FACTORY, 공장자동화 DB 구축 관련 소프트웨어 개발 인원 모집합니다.
대상 :  경력
우대 : c# 및 델파이 가능자 및 전공자
급여 : 추후 협의 가능";C언어및그외프로그래밍언어전문가;범용응용소프트웨어프로그래머(ERP,정보처리,재무관리등);전산학·컴퓨터공학(학과:컴퓨터정보학부컴퓨터시스템공학전공)응용소프트웨어공학(학과:IT정보공학부(소프트웨어공학전공));정보처리기사(우대),정보처리산업기사(우대);;비희망;;고용촉진장려금대상자,차량소지자,운전면허증;;;;False;True;False;False;False;True;False;False;False;False

62;"주차관제시스템 제조 회사입니다. 
창립초기에 기틀을 잡고 처음부터 함께 할 직원을 모십니다. 
프로그램 및 전자회로 개발에 자신이 있는 분을 모십니다.
23.08월 중 남양주시 오남읍 이전예정입니다. 지원시 참고해 주세요.";시스템소프트웨어개발자(프로그래머);;;자동차운전면허(우대),정보통신기술사(우대);;비희망;;;문서작성 (워드프로세스 활용),표계산 (스프레드시트 활용)  ,프레젠테이션 프로그램 활용,회계프로그램,기타 (ERP 경험자우대);;;False;False;False;False;False;False;False;False;False;False

63;"1. 채용 제목 : AI Engineer / AI Scientist (Senior) 모집(대체인력) 
2. 지원자격 
    - 경력 : Python, C++를 사용한 알고리즘 또는 시스템 개발 경험
               PyTorch, TensorFlow와 같은 머신러닝 프레임워크 사용 경험
               위 경험에 대한 10년 이상의 경력
    - 학력 : Artificial intelligence / Computer Science / Data Science / Statistics / Electric 
                Engineering 등 이공계열 학사 이상 학위 
3. 근무조건
    - 지역 : 서울시 강남구 봉은사로 26길 12
    - 임금 : 연봉 4,000만원 ~ 5,000만원  
4. 고용형태
    - 기간의 정함이 있는 근로계약(12개월. 2023.09.01 ~ 2024.08.31)
    - 근무형태 : 주3일 근무(근무시간 오전 9시 ~ 오후 6시)
5. 복리후생 : 명절/생일 선물, 저녁식사 제공, 자율 시차출퇴근제(8~10시)
6. 직무내용
    - Deep learning 및 Reinforcement learning 기반의 이동체 경로 계획 및 스케줄 최적화 알고리즘 및 시스템 개발
    - Deep learning 및 Computer Vision 기반의 열차 환경 내 다양한 객체의 검출, 행동 인식 및 분석 알고리즘 및 시스템 개발
7. 모집인원 : 1명(가족돌봄 등 근로시간 단축 신청 근로자 대체 인력)
8. 우대사항
    - AI, Deep learning, Machine learning 관련 분야 학회 논문 1편 이상 보유하신 분
    - 최신 논문에 대한 빠른 이해 및 구현 능력이 있으신 분
    - 교통/물류 관련 예측 및 최적화 프로젝트 경험이 있으신 분
9. 접수기간 : 2023.07.25 ~ 2023.08.09
10. 전형방법 : 서류, 코딩테스트, 면접
11. 제출서류양식 : 자사 입사지원서 및 개인정보활용동의서(첨부 참조)";데이터설계및프로그래머;;전기공학(학과:전기·정보공학부)수학(학과:수학.전산전자물리.응용통계학과군);관계없음;영어(중);비희망;;;문서작성 (워드프로세스 활용),표계산 (스프레드시트 활용)  ,프레젠테이션 프로그램 활용;;;False;False;False;False;False;True;False;False;False;True

64;"[Flutter 앱개발자]
- Flutter를 이용하여 신규 서비스 개발
- 서비스 확장에 따른 서비스 개발 및 운영
- 모바일 개발 경력  5년차 이상인 분
- IOS 또는 AOS로 개발 경험이 있으신 분
- Flutter로 개발된 앱을 스토어 배포 경험있으신 분
- Git을 이용한 협업 경험이 있으신 분
우대사항
- React 개발 경험자
- Node.js 개발 경험자
- 금융권 프로젝트 경험자
공통지원자격
- 병역필 혹은 면제로 해외여행에 결격 사유가 없는 자
지원방법
- 이메일 접수 : toriedufin@gmail.com
- 이력서 양식 : 자유양식
전형절차
- 서류전형
- 1차 면접
- 최종합격
※ 전형일정은 서류 합격자에 한하여 개별 연락 드립니다.
고용형태
- 정규직
근무지
서울특별시 마포구 백범로 199   1513호 (메트로디오빌) 
기타사항
- 국가보훈해당자 및 장애인은 관련 법률에 의거 우대합니다.(증빙서류 제출자에 한함)
- 제출서류에 허위기재 또는 기재착오, 구비서류 미제출 등으로 인한 불이익은 응시자 본인의 책임으로 합니다.
- 제출서류나 각종 증명서의 기재내용이 허위일 경우, 응시를 무효로 하며 합격을 취소합니다.
(※최종 합격자에 한 해 동의서 작성 후, 개인신용정보 조회 예정. 신용점수에 영향 없음)";모바일애플리케이션프로그래머(앱·어플개발);UX/UI디자이너,웹기획자;;관계없음;;비희망;;;;;;False;False;False;False;False;True;False;False;False;False

65;"1.중급이상-경력 5년이상
-담당업무 : 자체 솔루션, 프로젝트 참여, 기타 시스템 구축
-자격요건 : 웹사이트 구축 및 전략 수립
                  PHP기반 플랫폼 개발, 웹/모바일, ERD
                  RDBMS, MySQL, HTML5, Javascript, jQuery 이해
                  반응형, 모바일 웹 경험
-우대조건 : LMS(학습관리시스템) 경험자, 
                  UI/UX설계, 스토리보드, 산출물 작성
                  PL/PM 경험자,
                  개발환경 구축 (Windows,Linux),
                  SI참여자
-모집인원 : 1명
2.채용형태 : 정규직 (수습 3개월)";웹개발자;;;관계없음;;비희망;;;문서작성 (워드프로세스 활용),표계산 (스프레드시트 활용);;;False;False;False;False;False;True;True;True;True;False

66;"자동화기구 설계업무
캐드, 인벤터 사용 가능자 우대";컴퓨터시스템설계및분석가;;;관계없음;;비희망;;;;;;False;False;False;False;False;False;False;False;False;False

67;"- 담당업무 
ㆍ모니터링 시스템 개발 구축
- 자격요건 
ㆍ경력 : 3년 이상
ㆍ정보통신기술자 경력수첩 소지자
- 우대사항 
ㆍ공학계열
ㆍ정보처리기사, 정보처리산업기사
ㆍ해당직무 근무경험
* 이런 분을 희망합니다.
ㆍ안되는 이유보다 되도록 하는 역랑을 가진 분                                                                                                  
ㆍ담당 업무에 대해 주도적 핸들링 가능자                                                                                        
ㆍ원활한 커뮤니케이션 능력 보유자";네트워크시스템개발자;;;정보통신기술사(필수);;비희망;;차량소지자,운전면허증;문서작성 (워드프로세스 활용),표계산 (스프레드시트 활용)  ,프레젠테이션 프로그램 활용;;;False;False;False;False;False;False;False;False;False;False

68;"- 제조 AI 빅데이터센터 총괄 운영
- 제조데이터, 제조AI 프로젝트 수행 및 연구활동";데이터전문가;;;관계없음;;비희망;;;;;;False;False;False;False;False;False;False;False;False;False

69;"디지탈헬스케어 도메인 중 원격의료, 원격진료, 원격모니터링 업무에 필요한 환자등록, 측정, 처방, 관리까지의 프로세스를 기획자, 디자이너, QA분들과 함께 만들고 있습니다.
운영 효율, 사용성 향상을 위하여 다양한 요구사항을 분석하고 문제를 해결합니다.
- 세계 여러나라에서 운영되고 있는 솔루션이기 때문에 항상 i18n, l10n, g11n, l12y에 대해 연구하고 의논하여 플랫폼 개발
  Internationalization (i18n).
  Localization (l10n).
  Globalization (g11n).
  Localizability (l12y).
- REST API 기반 외부 공유 API 상태를 모니터링하고, Client 앱과 항상 연결 상태가 유지하도록 플랫폼 개발
- 다양한 Database 에서 운영할 수 있도록 플랫폼 개발
※ 지원 자격
- 다양한 문제에 다영한 접근법과 해법을 활용할 수 있는 Frontend, Backend 개발자
- 다음 기술에 익숙하신 분
- React 사용 경험
- Typescript, Nest, TypeORM, Lodash 사용 경험
- Linux 플랫폼에서 웹 서비스 개발/운영 경험
- MySQL 또는 유사한 RDBMS 사용
- 새로운 언어, 기술에 관심이 많고 학습하려는 분
- jUnit과 테스트 코드 작성 라이브러리
- Jira, Confluence, Bitbucket 등의 협업 도구
※ 개발 환경
- Node.js, APS.NET Core
- AWS (EC2, S3, RDS, etc)
- MongoDB, MS-SQL, PostgreSQL
- Git, Bamboo
- Jira, Confluence, Bitbucket
※ 우대조건
- 컴퓨터, 전산 등 공학계열 관련 전공 (우대)
- 대용량 트래픽 서비스 개발 경험
- AWS 의 여러 서비스 사용 경험
- 다양한 SaaS 서비스 연동 경험
- MSA 환경에서의 개발 및 서비스 경험
- CI / CD 구축 및 사용 경험";웹개발자(웹엔지니어·웹프로그래머);;;관계없음;;비희망;;;;;작업장소:실내;False;False;False;False;False;True;False;False;False;False

70;방산품 및 항공/철도 관련 정밀가공부품 개발 NC Programmer;데이터설계및프로그래머;;;관계없음;;비희망;;;;"ㆍ공학계열
ㆍCAD/CAM 능숙자
ㆍ3차원 가능(소형/대형)
ㆍ인근거주자, 해당직무 근무경험";;False;False;False;False;False;True;False;False;False;False

71;"수퍼빈 앱/웹 서비스의 백엔드를 설계하고 개발합니다.
ㆍNode기반 Backend 프레임워크(NestJS)를 이용한 API 개발
ㆍNode 기반 Backend 프레임워크 개발 경험
ㆍREST/RESTful API에 대한 이해
ㆍRDB, Nosql 대한 이해
ㆍBackend 개발자로 성장하고 싶은 분
ㆍ전체 개발 경력 2~3년 이상";시스템소프트웨어개발자(프로그래머);;;관계없음;;비희망;;;;;;False;False;False;False;False;True;False;False;False;False

72;"ㆍ빅데이터 분석, 서비스 운영 최적화 알고리즘 개발
ㆍAI 기반 순환자원 물류/운영 최적화 시스템 구축
ㆍAI 데이터 처리 및 분석, 성능 향상 및 최적화";시스템소프트웨어개발자;;;관계없음;;비희망;;;;;;False;False;False;False;False;False;False;False;False;False

73;"1. 직무
- 문서중앙화 서버 관리
-네트워크망 관리
-하드웨어 관리
- 홈페이지관리
- 그룹웨어관리
2. 우대사항
 - 관련업무 경력자 우대
- OS 우수자 우대
3.학력 
 -초대졸 이상";네트워크관리자(클라우딩컴퓨터운영관리자);;전산학·컴퓨터공학(학과:전산정보학과);컴퓨터활용능력1급(우대),정보보안기사(우대);;비희망;;;;;;False;False;False;False;False;False;False;False;False;False

74;"현재 TDB 서비스는 React.js, Node.js, Amazon AWS, Maria DB, Unity로 개발된 웹 플랫폼입니다.
  모집 분야 : Developer (CTO /풀스택 개발팀 리더 )
 주요업무
 • AI 생성모델(GAN) 기반 텍스타일 디자인 맞춤 제작 서비스 개발 
 • TDB 웹 플랫폼 백엔드 & 프론트엔드 기술 고도화
 • 현 TDB 웹 플랫폼 유지 보수
 • 개발팀 구성 및 채용 권한
      
필수요건
• React.js ,Node.js로 웹 개발 프로젝트 리딩 경험이 있으신 분
• 서버를 직접 개발해보거나 API를 사용한 경험이 있으신 분
• javascript 문법에 대한 이해도가 높으신 분
• Maria DB, 아마존 AWS 서버 운영 관리가 가능하신 분
우대사항
• 5년차 이상 풀스택 개발자
• 인공지능 AI 이미지 생성모델(GAN) 기반 프로젝트 개발 진행 경험 있으신 분";웹개발자(웹엔지니어·웹프로그래머);;;관계없음;;비희망;;;;"• 5년차 이상 풀스택 개발자
• 인공지능 AI 이미지 생성모델(GAN) 기반 프로젝트 개발 진행 경험 있으신 분";;False;False;False;False;False;True;True;True;False;False

75;"-. DB암호화, 접근제어 솔루션 구축. 유지보수 업무 
-. 운영계시스템환경을 이해하고 Java, Oracle, MS_SQL 등 유경험자 
    OCP.정보처리기사 보유 경력.";정보보안전문가;IT기술지원전문가,데이터전문가;;정보처리기사(필수);;비희망;;;;;;False;True;False;False;False;True;True;False;False;False

76;"자동화 설비 전장 설계 및 제어로직 설계/운용SW개발(PLC.,HMI작화), 셋업
- 자동화 전장 및 제어 로직 설계 및 운용 소프트웨어 개발에 대한 업무 수행
- PLC를 활용한 자동화 시스템에 대한 프로그래밍 및 테스트
- 전장 관리 및 제어 시스템의 기능 향상을 위한 개발 작업
- 현장에서 발생하는 문제에 대한 조치 및 유지보수 작업";전기계측제어기술자(전기패널,계장,공정자동화전기등);시스템소프트웨어개발자;;공업계측제어기사(우대);;비희망;;차량소지자,운전면허증;문서작성 (워드프로세스 활용),프레젠테이션 프로그램 활용;제어계측 공학 전공자, 전기,제어설계 공학 전공자 우대;;False;False;False;False;False;True;False;False;False;False

77;"당사는 충남 당진  현대제철 협력업체로서 강관 MES 유지보수 운영업체입니다 (JAVA 기반)
근무는 내근(사무실 근무) 위주이며 주 5일 (월~금) 08:00~ 17:00
야근,연장근무는 거의 없이 정상근무입니다
경력 5년 이상 직원을 구하면 제철관련 분야 경험자 우대합니다.";IT기술지원전문가;;전산학·컴퓨터공학(학과:컴퓨터공학계열)전산학·컴퓨터공학(학과:컴퓨터시스템전공);정보처리기사(우대);;비희망;;;;;;False;True;False;False;False;False;True;False;False;False

78;"○경력: 최소3년이상  
○학력: 전문대 이상 
○근무형태:  정규직(수습기간 3개월 ) / 주5일제 (월~금요일까지 근무) 
○출/퇴근 시간: 오전 8시 출근 오후, 20시 퇴근 (휴식 시간있음. 점심/저녁 제공함. )
○급여: 면접 후 결정됩니다.★
○근무지역: (39382) 경북 구미시 산호대로 104-134/ ㈜ 성림시스템
○연락처: 054-650-6205
○휴대폰연락처: 010-4523-3252
○입사지원 이메일: yscho@srsystem.co.kr (이력서 양식 자유)";데이터설계및프로그래머;;;관계없음;;비희망;;운전면허증;;;;False;False;False;False;False;True;False;False;False;False

79;"(주)휘스커 개발사업부에서 홈페이지 UI/UX 설계가 가능한 기획자와 개발PL을 아래와 같이 모집하고 있습니다.
- 웹 기획자: 홈페이지 구축 요구사항 분석, UI/UX 설계, 제안시기획지원(별도제안센터 운영중) 및  프로젝트관리
- 개발PL: 업무시스템 및 포털 개발 PL
저희 (주)휘스커는 공공기관의 업무시스템 개발(SI) 및 홈페이지(포털) 구축사업을 수행하고 있습니다.
그중 인터렉션사업부에서는 홈페이지 구축에 해당하는 웹기획자를, 정보화사업부에서는 시스템 및 포털 개발PL을 모집하고 있습니다.
고객과 팀원간의 원활한 의사소통과 문제해결을 위해 끝까지 최선을 다하는 책임감 있는 분을 찾습니다.";웹기획자;마케팅·광고·홍보관리자(부서장),정보통신관리자(부서장);정보·통신공학(학과:컴퓨터정보처리학전공)경영학(학과:IT기획전공);기타:정보처리기사우대;;비희망;;차량소지자;문서작성 (워드프로세스 활용),프레젠테이션 프로그램 활용;;;False;True;False;False;False;False;False;False;False;False

80;"담당업무
ㆍ사업제안서 및 수행계획서 작성
ㆍ프로젝트(SI, R&D) 기획 및 사업관리 업무담당
ㆍ사용자 요구사항 분석 및 웹서비스 기획
ㆍ스토리보드(화면 설계) 기획
ㆍ웹 트렌드 분석 및 사례조사
자격요건
ㆍ학력 : 학력무관
ㆍ경력 : 경력 (4년이상)
* 우대사항
ㆍ컴퓨터 활용능력 2급 이상 소지자
ㆍ한컴 office 활용능력 우수자
ㆍ1종/2종 운전면허 소지자
ㆍ유사 업무 경험자 우대
ㆍUI/UX 서비스 기획 경험자
ㆍ활기차고 의사전달이 원활한 사람";웹기획자;기획·마케팅사무원;;관계없음;;비희망;;운전면허증;문서작성 (워드프로세스 활용),표계산 (스프레드시트 활용)  ,프레젠테이션 프로그램 활용;;;False;False;False;False;False;True;False;False;False;False

81;각종 지그 (조립지그, 검사지그,가공지그) 및 2D,3D설계 간단한 기구물 설계등;데이터설계및프로그래머;;;관계없음;;비희망;;;;;;False;False;False;False;False;False;False;False;False;False

82;"- 응용소프트웨어 개발 - AWS기반의 플랫폼 개발 (Back End & Front End)
- 경력자 우대 
- 컴퓨터공학 전공 혹은 정보처리기사
- 임금 : 월급 2,500,000원 ~ 4,000,000원";웹개발자;;;정보처리기능사(우대)기타:관련전공자격증;;비희망;;;;;;False;False;False;False;False;True;False;False;False;False

83;"플라스틱 사출금형  set 업체 입니다.
자동차 내/외장제 제작하고 있습니다.
금형설계 담당하실 성실하고 책임감 있으신 분";플라스틱금형제조원;데이터설계및프로그래머;기계공학(학과:금형설계학과)기계공학(학과:제품설계금형공학과);기타:운전면허증;;비희망;;;;성실하시고 책임감 강하신분;;False;False;False;False;False;False;False;False;False;False

84;"■ 담당업무 : 
1. R&D 연구개발
2. 자사제품 펌웨어 개발 및 수정
■ 필수언어 : C언어, Java(Go)
■ 관련전공 : 無
■ 우대사항 : 해당직무 유경험자
■ 근무조건 :
1. 근무 시간 : 09:00 ~ 18:00 (평일/주5일)
2. 근무 조건 : 면접 후 협의 
3. 근무장소 : 전북 전주시 완산구 바우배기2길 23, 이지빌딩 3층 (주)첫눈
4. 고용형태 : 정규직
5. 복리후생 : 4대보험, 퇴직연금, 상여금, 성과금, 생일자 상품권 지급, 명절상여 및 선물, 경조사 지원, 청년 소득세 감면 신청 및 내일채움공제 가입 가능.";응용소프트웨어개발자;통신공학기술자및연구원;전산학·컴퓨터공학(학과:정보통신공학부컴퓨터공학전공);자동차운전면허(필수);;비희망;;차량소지자,운전면허증;문서작성 (워드프로세스 활용),표계산 (스프레드시트 활용)  ,프레젠테이션 프로그램 활용;;;False;False;False;False;False;True;True;False;False;False

85;"담당업무
1.  IT 서비스관리 통합관리 솔루션 엔지니어
- 모니터링 솔루션 (SMS, NMS)
- IT 서비스관리시스템,  IT 자산관리시스템 등
 
2. 클라우드시스템 솔루션 엔지니어
- IaaS , PaaS 솔루션 ( RedHat, VMware 등)
우대사항
ㆍ유관업무 경력자
ㆍ자격증 : 정보처리기사
ㆍPrivate/Public Cloud 프로젝트 구축 유경험자
ㆍOpenstack/Openshift/VMware Cloud 구축 유경험자
ㆍITIL 기본지식 보유자
ㆍITSM, ITAM 프로젝트 수행 경혐자";IT기술지원전문가;;;관계없음;;비희망;;;;;;False;False;False;False;False;True;False;False;False;False

86;"㈜에어패스
(주)에어패스는 초등학교에 가상현실 스포츠실 보급 1위 기업으로
유아, 초등, 청소년, 장애인, 노인등을 위한 다양한 디지털 체험 콘텐츠를 개발하고 보급하고 있습니다.
바닥, 벽면의 스크린 및 디스플레이등을 활용하여 다양한 교육, 놀이, 스포츠 콘텐츠등
기획에 참여할 기획자를 모집합니다.
● 포지션 및 자격요건
담당업무
ㆍ디지털 콘텐츠 기획 및 기획서 작성
ㆍ가이드 작성 및 아웃소싱 및 협업 관리
자격요건
ㆍ유연하고 긍정적이며 적극적인 마인드를 소유하신 분
ㆍMicrosoft Office프로그램을 이용한 문서작성 및 의사 전달이 원활하신분
ㆍ해당 유관직무 경력 2년 이상
우대사항
ㆍ 디지털 콘텐츠 기획 유경험자
ㆍ 게이미피케이션 기획 유경험자
● 복리후생
ㆍ급여제도 : 4대보험 가입 / 퇴직연급
ㆍ카페테리아 & 휴게실 운영 (커피 및 음료 제공, 휴식을 위한 수면실 보유)
ㆍ아침 조식 제공
ㆍ연차 사용(연차, 반차, 반반차)
ㆍ자율 복장
ㆍ선택근무제(출근시간 조절가능)
ㆍ출산휴가, 육아휴직
ㆍ경조사지원
ㆍ선물지급( 입사 축사 선물, 명절/생일 기념일, 장기 근속자 포상등)
● 전형절차
ㆍ서류전형 > 1차면접 > 임원면접 > 최종합격
ㆍ면접일정은 추후 통보됩니다.
●공통요건
ㆍ해외여행 결격사유 없는 자
ㆍ채용 규정에 어긋나지 않는 자
ㆍ보훈 대상자 및 장애인 우대
● 유의사항
ㆍ허위사실이 발견될 경우 채용이 취소됩니다.
